time,latitude,longitude,value
2024-01-01,35.875,22.375,1100655300000000.0
2024-01-01,35.875,22.625,765843400000000.0
2024-01-01,35.875,22.875,76922445000000.0
2024-01-01,35.875,23.625,756011400000000.0
2024-01-01,35.875,24.125,1503711500000000.0
2024-01-01,35.875,24.375,1865612000000000.0
2024-01-01,36.125,19.125,960959300000000.0
2024-01-01,36.125,19.375,860630500000000.0
2024-01-01,36.125,19.625,1692038900000000.0
2024-01-01,36.125,19.875,1546066400000000.0
2024-01-01,36.125,20.125,2745295000000000.0
2024-01-01,36.125,20.375,3209312600000000.0
2024-01-01,36.125,20.625,960797340000000.0
2024-01-01,36.125,20.875,536506780000000.0
2024-01-01,36.125,21.125,910969140000000.0
2024-01-01,36.125,21.375,803159150000000.0
2024-01-01,36.125,21.875,1708736600000000.0
2024-01-01,36.125,22.125,2581002000000000.0
2024-01-01,36.125,22.375,1253545500000000.0
2024-01-01,36.125,22.625,862813300000000.0
2024-01-01,36.125,22.875,48392020000000.0
2024-01-01,36.125,23.625,239432350000000.0
2024-01-01,36.125,24.125,1561389900000000.0
2024-01-01,36.125,24.375,1946501900000000.0
2024-01-01,36.375,19.125,352757140000000.0
2024-01-01,36.375,19.375,1028907400000000.0
2024-01-01,36.375,19.625,1485162800000000.0
2024-01-01,36.375,19.875,1495618600000000.0
2024-01-01,36.375,20.125,3020649700000000.0
2024-01-01,36.375,20.375,4001377600000000.0
2024-01-01,36.375,20.875,490549760000000.0
2024-01-01,36.375,21.125,434102600000000.0
2024-01-01,36.375,21.375,33389697000000.0
2024-01-01,36.375,21.875,2754088700000000.0
2024-01-01,36.375,22.125,2258816000000000.0
2024-01-01,36.375,22.375,1155279600000000.0
2024-01-01,36.375,22.625,1095603000000000.0
2024-01-01,36.375,23.375,147948550000000.0
2024-01-01,36.375,23.625,59155436000000.0
2024-01-01,36.375,24.125,612231600000000.0
2024-01-01,36.625,19.125,1256188500000000.0
2024-01-01,36.625,19.375,1567041000000000.0
2024-01-01,36.625,19.625,1189190700000000.0
2024-01-01,36.625,19.875,1899946800000000.0
2024-01-01,36.625,20.375,157607480000000.0
2024-01-01,36.625,20.875,686054300000000.0
2024-01-01,36.625,21.125,358082600000000.0
2024-01-01,36.625,21.375,1287672100000000.0
2024-01-01,36.625,21.625,987254700000000.0
2024-01-01,36.625,21.875,2546441500000000.0
2024-01-01,36.625,22.125,808858040000000.0
2024-01-01,36.625,22.375,252360800000000.0
2024-01-01,36.625,22.625,912536200000000.0
2024-01-01,36.625,23.375,450989200000000.0
2024-01-01,36.625,23.625,1501417100000000.0
2024-01-01,36.625,23.875,1363414000000000.0
2024-01-01,36.625,24.125,898378400000000.0
2024-01-01,36.875,19.125,826052740000000.0
2024-01-01,36.875,19.375,511748780000000.0
2024-01-01,36.875,19.625,841693600000000.0
2024-01-01,36.875,19.875,4118834200000000.0
2024-01-01,36.875,20.125,4198798100000000.0
2024-01-01,36.875,20.875,1039267870000000.0
2024-01-01,36.875,21.125,633813800000000.0
2024-01-01,36.875,21.375,1408290200000000.0
2024-01-01,36.875,21.625,1827612700000000.0
2024-01-01,36.875,21.875,2688795600000000.0
2024-01-01,36.875,22.125,962487700000000.0
2024-01-01,36.875,22.375,224119980000000.0
2024-01-01,36.875,22.625,18985005000000.0
2024-01-01,36.875,23.125,673502600000000.0
2024-01-01,36.875,23.375,1196186800000000.0
2024-01-01,36.875,23.625,2032376800000000.0
2024-01-01,36.875,23.875,2334744800000000.0
2024-01-01,36.875,24.125,2359899800000000.0
2024-01-01,37.125,19.375,456737660000000.0
2024-01-01,37.125,19.625,605988900000000.0
2024-01-01,37.125,19.875,4069610600000000.0
2024-01-01,37.125,20.125,3748480200000000.0
2024-01-01,37.125,20.875,1206964000000000.0
2024-01-01,37.125,21.125,1468326800000000.0
2024-01-01,37.125,21.375,782207500000000.0
2024-01-01,37.125,21.625,840455700000000.0
2024-01-01,37.125,21.875,1770238100000000.0
2024-01-01,37.125,22.125,1274895300000000.0
2024-01-01,37.125,22.375,759352370000000.0
2024-01-01,37.125,22.875,1062376900000000.0
2024-01-01,37.125,23.125,665473840000000.0
2024-01-01,37.125,23.375,774777000000000.0
2024-01-01,37.125,23.625,1665864500000000.0
2024-01-01,37.125,23.875,2180962100000000.0
2024-01-01,37.375,19.125,768445950000000.0
2024-01-01,37.375,19.375,755547400000000.0
2024-01-01,37.375,19.625,2129362100000000.0
2024-01-01,37.375,19.875,3238585700000000.0
2024-01-01,37.375,20.125,585379350000000.0
2024-01-01,37.375,20.375,680158500000000.0
2024-01-01,37.375,20.625,193828970000000.0
